"city","country"
"Shikarpur",NULL
"Shimoga",NULL
"Shimonoseki",NULL
"Shivapuri",NULL
"Shubra al-Khayma",NULL
"Siegen",NULL
"Siliguri (Shiliguri)",NULL
"Simferopol",NULL
"Sincelejo",NULL
"Sirjan",NULL
"Sivas",NULL
"Skikda",NULL
"Smolensk",NULL
"So Bernardo do Campo",NULL
"So Leopoldo",NULL
"Sogamoso",NULL
"Sokoto",NULL
"Songkhla",NULL
"Sorocaba",NULL
"Soshanguve",NULL
"Sousse",NULL
"South Hill",NULL
"Southampton",NULL
"Southend-on-Sea",NULL
"Southport",NULL
"Springs",NULL
"Stara Zagora",NULL
"Sterling Heights",NULL
"Stockport",NULL
"Sucre",NULL
"Suihua",NULL
"Sullana",NULL
"Sultanbeyli",NULL
"Sumqayit",NULL
"Sumy",NULL
"Sungai Petani",NULL
"Sunnyvale",NULL
"Surakarta",NULL
"Syktyvkar",NULL
"Syrakusa",NULL
"Szkesfehrvr",NULL
"Tabora",NULL
"Tabriz",NULL
"Tabuk",NULL
"Tafuna",NULL
"Taguig",NULL
"Taizz",NULL
"Talavera",NULL
"Tallahassee",NULL
"Tama",NULL
"Tambaram",NULL
"Tanauan",NULL
"Tandil",NULL
"Tangail",NULL
"Tanshui",NULL
"Tanza",NULL
"Tarlac",NULL
"Tarsus",NULL
"Tartu",NULL
"Teboksary",NULL
"Tegal",NULL
"Tel Aviv-Jaffa",NULL
"Tete",NULL
"Tianjin",NULL
"Tiefa",NULL
"Tieli",NULL
"Tokat",NULL
"Tonghae",NULL
"Tongliao",NULL
"Torren",NULL
"Touliu",NULL
"Toulon",NULL
"Toulouse",NULL
"Trshavn",NULL
"Tsaotun",NULL
"Tsuyama",NULL
"Tuguegarao",NULL
"Tychy",NULL
"Udaipur",NULL
"Udine",NULL
"Ueda",NULL
"Uijongbu",NULL
"Uluberia",NULL
"Urawa",NULL
"Uruapan",NULL
"Usak",NULL
"Usolje-Sibirskoje",NULL
"Uttarpara-Kotrung",NULL
"Vaduz",NULL
"Valencia",NULL
"Valle de la Pascua",NULL
"Valle de Santiago",NULL
"Valparai",NULL
"Vancouver",NULL
"Varanasi (Benares)",NULL
"Vicente Lpez",NULL
"Vijayawada",NULL
"Vila Velha",NULL
"Vilnius",NULL
"Vinh",NULL
"Vitria de Santo Anto",NULL
"Warren",NULL
"Weifang",NULL
"Witten",NULL
"Woodridge",NULL
"Wroclaw",NULL
"Xiangfan",NULL
"Xiangtan",NULL
"Xintai",NULL
"Xinxiang",NULL
"Yamuna Nagar",NULL
"Yangor",NULL
"Yantai",NULL
"Yaound",NULL
"Yerevan",NULL
"Yinchuan",NULL
"Yingkou",NULL
"York",NULL
"Yuncheng",NULL
"Yuzhou",NULL
"Zalantun",NULL
"Zanzibar",NULL
"Zaoyang",NULL
"Zapopan",NULL
"Zaria",NULL
"Zeleznogorsk",NULL
"Zhezqazghan",NULL
"Zhoushan",NULL
"Ziguinchor",NULL
